Country,Country Code,Region,Date,Year,Number of MPs,Percent female MPs,Mean age,Median age,Percent MPs aged 30 or under,Percent MPs aged 35 or under,Percent MPs aged 40 or under,Percent MPs aged 41 to 60,Percent MPs aged 61 or over,Percent female MPs aged 30 or under,Percent female MPs aged 35 or under,Percent female MPs aged 40 or under,Percent female MPs aged 41 to 60,Percent female MPs aged 61 or over,Age Representation Index 30 or under (ARI 30),Age Representation Index 35 or under (ARI 35),Age Representation Index 40 or under (ARI 40),Age Representation Index 41 to 60 (ARI 41 to 60),Age Representation Index 61 or over (ARI 61 plus),Coverage MPs,Coverage Age,Coverage Gender
"Cook Islands","COK","Pacific","2018-06-14","2018","24","28","54.3","56","4","4","4","72","24","14.3","14.3","14.3","57.1","28.6","NA","NA","NA","NA","NA","104.2","104.2","104.2"
"Croatia","HRV","Eastern Europe","2020-07-05","2020","151","31.8","48.6","48","0.7","6","22.5","66.9","10.6","2.1","6.3","25","66.7","8.3","0.02","0.14","0.43","2.02","0.75","100","100","100"
"Curaçao","CUW","South and Central America","2021-03-19","2021","21","28.6","50.9","47","0","0","0","77.8","22.2","0","0","0","75","25","0","0","0","2.35","1.57","100","42.9","100"
"Northern Cyprus","CYP","Eastern Europe","2022-01-23","2022","50","22","51.9","51.5","0","2","8","76","16","0","0","0","90.9","9.1","0","0.05","0.15","2.3","1.13","100","100","100"
"Czechia","CZE","Eastern Europe","2017-10-21","2017","200","22.5","47.8","48","5","14.5","28","56.5","15.5","6.7","17.8","31.1","57.8","11.1","0.17","0.35","0.53","1.71","1.1","100","100","100"
"Fiji","FJI","Pacific","2018-11-14","2018","51","17.6","59.5","59","0","0","0","38.9","61.1","0","0","0","50","50","0","0","0","1.18","4.32","100","35.3","100"
"Monaco","MCO","Western Europe","2023-02-05","2023","24","45.8","52","54","0","8.3","20.8","50","29.2","0","18.2","36.4","27.3","36.4","NA","NA","NA","NA","NA","100","100","100"
"France","FRA","Western Europe","2022-06-19","2022","577","37.8","49.1","50","4.9","15.8","26.4","55","18.6","2.3","11.5","21.1","61","17.9","0.17","0.39","0.5","1.68","1.33","99.8","99.8","99.8"
"French Polynesia","PYF","Pacific","2018-05-06","2018","57","49.1","53.2","53.5","5","5","5","65","30","0","0","0","87.5","12.5","0.17","0.12","0.09","1.96","2.12","100","35.1","100"
"Gibraltar","GIB","Western Europe","2015-11-26","2015","17","11.8","51","48","0","0","16.7","66.7","16.7","0","0","100","0","0","NA","NA","NA","NA","NA","100","35.3","100"
"Gibraltar","GIB","Western Europe","2019-10-17","2019","17","11.8","52.3","52","0","0","12.5","75","12.5","0","0","0","100","0","NA","NA","NA","NA","NA","100","47.1","100"
"Greenland","GRL","Western Europe","2018-04-24","2018","31","41.9","47.3","48","3.8","15.4","34.6","46.2","19.2","9.1","18.2","54.5","27.3","18.2","NA","NA","NA","NA","NA","100","83.9","100"
"Greenland","GRL","Western Europe","2021-04-06","2021","31","38.7","49.5","50.5","11.5","19.2","34.6","38.5","26.9","0","11.1","44.4","33.3","22.2","NA","NA","NA","NA","NA","100","83.9","100"
"Guam","GUM","Pacific","2018-11-06","2018","15","66.7","50.7","54","14.3","14.3","42.9","42.9","14.3","16.7","16.7","50","50","0","0.49","0.35","0.81","1.29","1.01","100","46.7","100"
"Guam","GUM","Pacific","2020-11-20","2020","15","53.3","46","48","25","25","50","50","0","25","25","50","50","0","0.85","0.61","0.95","1.51","0","100","26.7","100"
"Guernsey","GGY","Western Europe","2020-10-07","2020","45","21.1","48.8","53","0.0","22.2","33.3","44.4","22.2","0","0","12.5","0","0","NA","NA","NA","NA","NA","84.4","20","84.4"
"Hong Kong","HKG","Asia","2021-12-19","2021","90","17.8","51.4","51","0","4.4","14.7","61.8","23.5","0","13.3","20","66.7","13.3","0","0.11","0.28","1.87","1.66","100","75.6","100"
"Hungary","HUN","Eastern Europe","2022-04-03","2022","199","14.1","52.5","54","1.6","7.8","15.1","62.5","22.4","0","19.2","23.1","65.4","11.5","0.05","0.19","0.29","1.89","1.58","100","96.5","100"
"Indonesia","IDN","Asia","2019-04-17","2019","575","22.2","50.5","51","4","8.9","17","66.5","16.5","7.9","15","28.3","63.8","7.9","0.14","0.23","0.34","2.14","1.24","99.7","99.3","99.7"
"Ireland","IRL","Western Europe","2020-02-08","2020","160","23.1","49.6","48","2.8","7.1","18.4","65.2","16.3","6.5","16.1","25.8","61.3","12.9","0.1","0.17","0.35","1.97","1.15","100","88","100"
